11:51:46.810 [schedule-pool-7] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:51:46.810 [schedule-pool-7] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:51:46.810 [schedule-pool-7] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:51:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:51:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:51:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:51:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:51:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:51:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:51:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:51:51.819 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:51:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:01.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:11.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:11.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:11.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:11.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:11.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:11.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:11.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:21.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:26.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:31.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:36.811 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:41.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:46.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:51.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:51.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:51.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:51.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:51.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:51.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:51.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:52:56.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:01.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:06.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:11.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:16.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:21.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:26.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:31.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:31.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:31.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:31.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:31.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:31.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:31.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:31.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:36.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:36.809 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:36.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
11:53:36.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
11:53:36.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
11:53:36.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
11:53:36.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
11:53:36.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
11:53:41.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
11:53:41.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
11:53:41.810 [schedule-pool-48] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
