10:10:14.664 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:14.664 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:14.665 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:14.665 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:19.663 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:19.663 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:19.663 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:19.664 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:19.664 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:19.664 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:19.664 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:19.664 [schedule-pool-6] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:24.662 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:24.662 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:24.662 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:24.662 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
